singular_index,singular_value,p,cumulative_energy
0,0.7266217204183603,0.6356348541600508,0.6356348541600508
1,0.5330984159141625,0.34214148467011973,0.9777763388301706
2,0.13586648119143377,0.022223661169829535,1.0
