parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.5584881851187637
decoder.encoder.layers.0.linear1.bias,0,2,0.1198400183108776
decoder.encoder.layers.0.linear1.bias,1,0,0.5584881851187637
decoder.encoder.layers.0.linear1.bias,1,2,0.2924411863559736
decoder.encoder.layers.0.linear1.bias,2,0,0.1198400183108776
decoder.encoder.layers.0.linear1.bias,2,1,0.2924411863559736
decoder.encoder.layers.0.linear1.weight,0,1,0.3370658962094628
decoder.encoder.layers.0.linear1.weight,0,2,0.04057582988822082
decoder.encoder.layers.0.linear1.weight,1,0,0.3370658962094628
decoder.encoder.layers.0.linear1.weight,1,2,0.16658437021792347
decoder.encoder.layers.0.linear1.weight,2,0,0.04057582988822082
decoder.encoder.layers.0.linear1.weight,2,1,0.16658437021792347
decoder.encoder.layers.0.linear2.bias,0,1,0.7999249095154415
decoder.encoder.layers.0.linear2.bias,0,2,0.2580043967151896
decoder.encoder.layers.0.linear2.bias,1,0,0.7999249095154415
decoder.encoder.layers.0.linear2.bias,1,2,0.29111716562918133
decoder.encoder.layers.0.linear2.bias,2,0,0.2580043967151896
decoder.encoder.layers.0.linear2.bias,2,1,0.29111716562918133
decoder.encoder.layers.0.linear2.weight,0,1,0.5028850621309278
decoder.encoder.layers.0.linear2.weight,0,2,0.16855193362247042
decoder.encoder.layers.0.linear2.weight,1,0,0.5028850621309278
decoder.encoder.layers.0.linear2.weight,1,2,0.23422719132923644
decoder.encoder.layers.0.linear2.weight,2,0,0.16855193362247042
decoder.encoder.layers.0.linear2.weight,2,1,0.23422719132923644
decoder.encoder.layers.0.norm1.bias,0,1,0.568176070399698
decoder.encoder.layers.0.norm1.bias,0,2,0.17297255837021025
decoder.encoder.layers.0.norm1.bias,1,0,0.568176070399698
decoder.encoder.layers.0.norm1.bias,1,2,0.2020093007017701
decoder.encoder.layers.0.norm1.bias,2,0,0.17297255837021025
decoder.encoder.layers.0.norm1.bias,2,1,0.2020093007017701
decoder.encoder.layers.0.norm1.weight,0,1,0.5193598635334217
decoder.encoder.layers.0.norm1.weight,0,2,0.44582367325743527
decoder.encoder.layers.0.norm1.weight,1,0,0.5193598635334217
decoder.encoder.layers.0.norm1.weight,1,2,0.4881108765764424
decoder.encoder.layers.0.norm1.weight,2,0,0.44582367325743527
decoder.encoder.layers.0.norm1.weight,2,1,0.4881108765764424
decoder.encoder.layers.0.norm2.bias,0,1,0.6289705677643527
decoder.encoder.layers.0.norm2.bias,0,2,-0.14003313821509583
decoder.encoder.layers.0.norm2.bias,1,0,0.6289705677643527
decoder.encoder.layers.0.norm2.bias,1,2,-0.14483496279352906
decoder.encoder.layers.0.norm2.bias,2,0,-0.14003313821509583
decoder.encoder.layers.0.norm2.bias,2,1,-0.14483496279352906
decoder.encoder.layers.0.norm2.weight,0,1,0.5992738295951223
decoder.encoder.layers.0.norm2.weight,0,2,-0.028213667226409316
decoder.encoder.layers.0.norm2.weight,1,0,0.5992738295951223
decoder.encoder.layers.0.norm2.weight,1,2,0.2689795535740246
decoder.encoder.layers.0.norm2.weight,2,0,-0.028213667226409316
decoder.encoder.layers.0.norm2.weight,2,1,0.2689795535740246
decoder.encoder.layers.0.self_attn.in_proj_bias,0,1,0.3846870013790033
decoder.encoder.layers.0.self_attn.in_proj_bias,0,2,0.09689523972996869
decoder.encoder.layers.0.self_attn.in_proj_bias,1,0,0.3846870013790033
decoder.encoder.layers.0.self_attn.in_proj_bias,1,2,0.24684834279245604
decoder.encoder.layers.0.self_attn.in_proj_bias,2,0,0.09689523972996869
decoder.encoder.layers.0.self_attn.in_proj_bias,2,1,0.24684834279245604
decoder.encoder.layers.0.self_attn.in_proj_weight,0,1,0.2970720219967043
decoder.encoder.layers.0.self_attn.in_proj_weight,0,2,0.20405003851062795
decoder.encoder.layers.0.self_attn.in_proj_weight,1,0,0.2970720219967043
decoder.encoder.layers.0.self_attn.in_proj_weight,1,2,0.21369541966210995
decoder.encoder.layers.0.self_attn.in_proj_weight,2,0,0.20405003851062795
decoder.encoder.layers.0.self_attn.in_proj_weight,2,1,0.21369541966210995
decoder.encoder.layers.0.self_attn.out_proj.bias,0,1,0.8062134517411158
decoder.encoder.layers.0.self_attn.out_proj.bias,0,2,0.20867528667774093
decoder.encoder.layers.0.self_attn.out_proj.bias,1,0,0.8062134517411158
decoder.encoder.layers.0.self_attn.out_proj.bias,1,2,0.27696716111513925
decoder.encoder.layers.0.self_attn.out_proj.bias,2,0,0.20867528667774093
decoder.encoder.layers.0.self_attn.out_proj.bias,2,1,0.27696716111513925
decoder.encoder.layers.0.self_attn.out_proj.weight,0,1,0.35268312237303534
decoder.encoder.layers.0.self_attn.out_proj.weight,0,2,0.003786288266056949
decoder.encoder.layers.0.self_attn.out_proj.weight,1,0,0.35268312237303534
decoder.encoder.layers.0.self_attn.out_proj.weight,1,2,0.04470933516021052
decoder.encoder.layers.0.self_attn.out_proj.weight,2,0,0.003786288266056949
decoder.encoder.layers.0.self_attn.out_proj.weight,2,1,0.04470933516021052
decoder.encoder.layers.1.linear1.bias,0,1,0.4125007083757343
decoder.encoder.layers.1.linear1.bias,0,2,0.3012163959171082
decoder.encoder.layers.1.linear1.bias,1,0,0.4125007083757343
decoder.encoder.layers.1.linear1.bias,1,2,0.38191231617503973
decoder.encoder.layers.1.linear1.bias,2,0,0.3012163959171082
decoder.encoder.layers.1.linear1.bias,2,1,0.38191231617503973
decoder.encoder.layers.1.linear1.weight,0,1,0.2409229311176365
decoder.encoder.layers.1.linear1.weight,0,2,0.050291312438709226
decoder.encoder.layers.1.linear1.weight,1,0,0.2409229311176365
decoder.encoder.layers.1.linear1.weight,1,2,0.13371694941044446
decoder.encoder.layers.1.linear1.weight,2,0,0.050291312438709226
decoder.encoder.layers.1.linear1.weight,2,1,0.13371694941044446
decoder.encoder.layers.1.linear2.bias,0,1,0.6240419795413055
decoder.encoder.layers.1.linear2.bias,0,2,0.44179716250940193
decoder.encoder.layers.1.linear2.bias,1,0,0.6240419795413055
decoder.encoder.layers.1.linear2.bias,1,2,0.696558188931868
decoder.encoder.layers.1.linear2.bias,2,0,0.44179716250940193
decoder.encoder.layers.1.linear2.bias,2,1,0.696558188931868
decoder.encoder.layers.1.linear2.weight,0,1,0.37072310123281677
decoder.encoder.layers.1.linear2.weight,0,2,0.2267686160411303
decoder.encoder.layers.1.linear2.weight,1,0,0.37072310123281677
decoder.encoder.layers.1.linear2.weight,1,2,0.25331590924331554
decoder.encoder.layers.1.linear2.weight,2,0,0.2267686160411303
decoder.encoder.layers.1.linear2.weight,2,1,0.25331590924331554
decoder.encoder.layers.1.norm1.bias,0,1,0.4457208051110792
decoder.encoder.layers.1.norm1.bias,0,2,0.20170136968140245
decoder.encoder.layers.1.norm1.bias,1,0,0.4457208051110792
decoder.encoder.layers.1.norm1.bias,1,2,0.42980311008403116
decoder.encoder.layers.1.norm1.bias,2,0,0.20170136968140245
