i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.09953274037600346,1
0,2,0.09476770608333233,2
0,3,0.15796070695190903,3
0,4,0.12957134551797916,4
1,0,0.09953274037600346,1
1,1,1.0,0
1,2,0.28578405593220013,1
1,3,0.17327687491309185,2
1,4,0.1288168079811504,3
2,0,0.09476770608333233,2
2,1,0.28578405593220013,1
2,2,1.0,0
2,3,0.30960208843573506,1
2,4,0.23773468373051673,2
3,0,0.15796070695190903,3
3,1,0.17327687491309185,2
3,2,0.30960208843573506,1
3,3,1.0,0
3,4,0.47562335389106297,1
4,0,0.12957134551797916,4
4,1,0.1288168079811504,3
4,2,0.23773468373051673,2
4,3,0.47562335389106297,1
4,4,1.0,0
