temporal_distance,mean,std,n_pairs
1,0.29263555965875043,0.13333045212460615,4
2,0.16859308824231364,0.05845991542687263,3
3,0.1433887574665297,0.01457194948537932,2
4,0.12957134551797916,0.0,1
