i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.4558238981977145,1
0,2,0.0379607787234167,2
1,0,0.4558238981977145,1
1,1,1.0,0
1,2,0.15684467553170314,1
2,0,0.0379607787234167,2
2,1,0.15684467553170314,1
2,2,1.0,0
