run_id,seed,status,mae_tx_patch_len,mae_tx_encoder_embed_dim,mae_tx_encoder_layers,mae_tx_encoder_heads,mae_tx_decoder_embed_dim,mae_tx_decoder_layers,mae_tx_decoder_heads,mae_tx_mask_ratio,mae_tx_n_eval_passes,mae_tx_training_mode,mae_tx_patch_norm,mae_tx_instance_norm,train_test_window_auroc,train_test_window_auprc,train_test_window_f1,train_test_window_precision,train_test_window_recall,train_test_point_auroc,train_test_point_auprc,train_test_point_f1,train_test_point_precision,train_test_point_recall,train_test_pa_f1,train_test_pa_precision,train_test_pa_recall,train_test_event_f1,train_test_event_precision,train_test_event_recall,train_test_event_tp,train_test_event_fp,train_test_event_fn,train_val_reconstruction/score_mean,train_val_reconstruction/score_std,train_val_reconstruction/score_p50,train_val_reconstruction/score_p95,train_val_reconstruction/score_p99
58325,42,complete,5,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.7889821650562848,0.6520939746512245,0.6579009019561907,0.5794238258582003,0.7609660264878231,0.7790365817219564,0.5565662472170614,0.5966651359440073,0.48590514017486397,0.7728279596357371,0.7883279124778237,0.7173269657630995,0.8749282139634096,0.24254473161033793,0.1412037037037037,0.8591549295774648,61.0,371.0,10.0,0.1381651396200785,0.09362748963374791,0.10572868585586548,0.34721751809120055,0.5091986203193656
58326,42,complete,5,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.794519966757473,0.6546700858213585,0.6582198858786,0.5899645618556701,0.7443349253124683,0.7869970221137118,0.5619235771391444,0.599252046985947,0.5007296054624046,0.7460415128394454,0.7665271064311513,0.6820260288427717,0.8749282139634096,0.2966751918158568,0.18125,0.8169014084507042,58.0,262.0,13.0,0.15433959494048768,0.10566205793865202,0.11785709857940674,0.3761500358581541,0.588188428878784
58327,42,complete,5,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8017460563814429,0.6511137414162217,0.6760758847327145,0.5510286836264299,0.874538495410358,0.7986871720142619,0.5644880167038873,0.6208630318958991,0.4762770923275843,0.8915005332677004,0.765976597659766,0.6625741151104989,0.9076216260562803,0.28571428571428575,0.17191977077363896,0.8450704225352113,60.0,289.0,11.0,0.1836513792357878,0.13105240259041898,0.13759712874889374,0.42207489609718274,0.7365286421775811
58328,42,complete,10,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.7993039754932166,0.6554576573982076,0.6675171817770279,0.5609351224235717,0.8241032415404939,0.7915303119104745,0.5603389687145921,0.6074157939428247,0.4769000444454841,0.8362868159816228,0.7670121676430824,0.6641253451794933,0.9076216260562803,0.16473616473616473,0.0906515580736544,0.9014084507042254,64.0,642.0,7.0,0.16786605621723535,0.1188872406122813,0.12676165997982025,0.40021848082542155,0.6614747118949883
58329,42,complete,10,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.8030502928277202,0.6569836827230511,0.672284137632547,0.5595884087992254,0.8418182434034481,0.7974818282867389,0.5646989681095436,0.6154093896851074,0.47845484965058843,0.8622118303388301,0.7670387575400403,0.6641652158251786,0.9076216260562803,0.1729106628242075,0.09630818619582665,0.8450704225352113,60.0,563.0,11.0,0.1780182869747603,0.12560332134218763,0.13575983047485352,0.4067911267280567,0.716677165031432
58330,42,complete,10,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8118583322029369,0.6508131900305971,0.6954946215082604,0.6007985999852111,0.8256274768824307,0.8104974044486271,0.5647486802767848,0.647615821644675,0.5183751941041631,0.8627040774468784,0.7707065180220232,0.6607928223772943,0.9244810895069325,0.2095238095238095,0.1211453744493392,0.7746478873239436,55.0,399.0,16.0,0.2490890959182323,0.18523661158624816,0.18807019293308258,0.5826963424682614,1.140679812431335
58331,42,complete,20,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.807629077514698,0.6596849181430796,0.6858591712547087,0.5992607033445578,0.8017139179622667,0.8020857692627857,0.5616475774463113,0.6321419582179713,0.5126818065833121,0.8241857412421035,0.7857616071908181,0.6972133074894347,0.9000738370662072,0.19865319865319866,0.11281070745697896,0.8309859154929577,59.0,464.0,12.0,0.18653719211318923,0.1326201454919294,0.1437053084373474,0.42171681523322935,0.7638931632041923
58332,42,complete,20,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.8143773583643921,0.6553177736458274,0.7062094799020314,0.6144608519066362,0.8301663110117535,0.8134863521969691,0.567690000726333,0.6590347710431312,0.5366702769611635,0.8536795471326606,0.7694355334106887,0.6587389703734003,0.9248502748379687,0.18666666666666665,0.10586011342155009,0.7887323943661971,56.0,473.0,15.0,0.21775718109353157,0.158285044908363,0.16952268779277802,0.4642033040523529,0.9444923043251032
58333,42,complete,20,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8128996435725708,0.6461001904004927,0.6993599747999026,0.6057344114291383,0.8272194560173424,0.8133813452034255,0.5596092557276903,0.6517302161610539,0.5230047647409172,0.8645089835097218,0.7715176216734596,0.6622177798682972,0.9240298629912216,0.1966101694915254,0.11175337186897881,0.8169014084507042,58.0,461.0,13.0,0.30644451210620355,0.23145328231598636,0.23426707088947296,0.6585412979125976,1.4993579196929916
58334,42,complete,5,256,3,2,128,1,2,0.8,30,random_mask,False,True,0.804809869459489,0.6553430629934343,0.672565903469439,0.5517361111111111,0.8611590962978017,0.8014386989391963,0.56488392599299,0.621539778150818,0.5189918645558487,0.7745918451062433,0.7665471426839197,0.6634283829570328,0.9076216260562803,0.20676691729323307,0.1193058568329718,0.7746478873239436,55.0,406.0,16.0,0.1839681775704556,0.12960649614766787,0.13907977938652039,0.4234053432941436,0.7457219672203058
58335,42,complete,5,256,4,2,128,1,2,0.8,30,random_mask,False,True,0.8023627193355476,0.6538127636678381,0.6678084430440978,0.5437976408465699,0.8650882362903499,0.7980318683106248,0.5624502896744179,0.6152012531499013,0.52587762705944,0.7410780211666257,0.765155444894007,0.6613462458153994,0.9076216260562803,0.2676399026763991,0.16176470588235295,0.7746478873239436,55.0,285.0,16.0,0.1834727643182144,0.13166431437100978,0.13844144344329834,0.42106878161430333,0.752889471054076
58336,42,complete,5,256,2,4,128,1,2,0.8,30,random_mask,False,True,0.8020563235117977,0.6511677260202946,0.6728404709805147,0.5466107971980615,0.8748772143752329,0.7985903831873339,0.5637669036190311,0.6164366143456578,0.47014201667995603,0.8949052424317007,0.7660561576013571,0.6626931831795855,0.9076216260562803,0.2339622641509434,0.13507625272331156,0.8732394366197183,62.0,397.0,9.0,0.18249399588680115,0.1272864733691457,0.13874325156211853,0.42150586247444066,0.717922239303588
