run_id,seed,status,mae_tx_patch_len,mae_tx_encoder_embed_dim,mae_tx_encoder_layers,mae_tx_encoder_heads,mae_tx_decoder_embed_dim,mae_tx_decoder_layers,mae_tx_decoder_heads,mae_tx_mask_ratio,mae_tx_n_eval_passes,mae_tx_training_mode,mae_tx_patch_norm,mae_tx_instance_norm,train_test_window_auroc,train_test_window_auprc,train_test_window_f1,train_test_window_precision,train_test_window_recall,train_test_point_auroc,train_test_point_auprc,train_test_point_f1,train_test_point_precision,train_test_point_recall,train_test_pa_f1,train_test_pa_precision,train_test_pa_recall,train_test_event_f1,train_test_event_precision,train_test_event_recall,train_test_event_tp,train_test_event_fp,train_test_event_fn,train_val_reconstruction/score_mean,train_val_reconstruction/score_std,train_val_reconstruction/score_p50,train_val_reconstruction/score_p95,train_val_reconstruction/score_p99
58251,42,complete,5,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.8039400337633755,0.7040584198339076,0.7520027453966347,0.9947794013335225,0.6044791558911762,0.8189767859316014,0.7069065906712722,0.7678293019733619,0.9800710732054015,0.6311491917028249,0.8459262261856506,0.9473206382350938,0.7641383350725911,0.3636363636363636,0.8888888888888888,0.22857142857142856,8.0,1.0,27.0,0.020546270138573717,0.05187931849341738,0.003827761858701706,0.12632890045642853,0.29269611835479736
58252,42,complete,5,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.8075239111584511,0.7051694197180154,0.7514624590779799,0.9955066405028012,0.6035136719423468,0.8226259416077623,0.7067107554982753,0.7676214030279737,0.9803653747652382,0.6307464162135442,0.8433418772122544,0.9487813250944044,0.7589937935958697,0.3636363636363636,0.8888888888888888,0.22857142857142856,8.0,1.0,27.0,0.023816324671672384,0.060149024469004476,0.004011041950434446,0.15138833224773407,0.3300345540046692
58253,42,complete,5,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8088187002660541,0.7021726974054603,0.7508532423208191,0.9945411122483794,0.6030826523223337,0.8231908322790704,0.7007713071811777,0.7670308375931308,0.9791026953258274,0.630471796561762,0.8427378897941165,0.9322929384864697,0.7688801010600319,0.2909090909090909,0.4,0.22857142857142856,8.0,12.0,27.0,0.0313810810120787,0.08048548342946313,0.004269994795322418,0.18001271039247513,0.43760906159877777
58254,42,complete,10,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.8087358188248326,0.7053882955904518,0.7515021459227468,0.9949428944826411,0.6037722837143547,0.8233906627530859,0.705848182833918,0.767580452920143,0.9801433773327265,0.6307830321671152,0.8378198132654299,0.9349164467897977,0.7589937935958697,0.3636363636363636,0.8888888888888888,0.22857142857142856,8.0,1.0,27.0,0.027130579247014463,0.07058162612268067,0.00430724024772644,0.16848137974739075,0.3909815400838852
58255,42,complete,10,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.8110358567298125,0.7072112400601204,0.7499009285936145,0.989905273575569,0.6035653942967484,0.8257076085364354,0.7079844458109841,0.7658448747304537,0.9746781723015985,0.6307098002599733,0.8258553553813406,0.9540111313693503,0.7280533128283994,0.14414414414414414,0.10526315789473684,0.22857142857142856,8.0,68.0,27.0,0.029234902983099248,0.07756951776139717,0.004291006363928318,0.1738302782177925,0.43175120651721954
58256,42,complete,10,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8127398918261897,0.705340037977147,0.7473549488054607,0.9798087141339001,0.604048136271163,0.8267597072275616,0.7061219861571775,0.7641929208684569,0.9813926776740847,0.6257117225975357,0.8444787676174411,0.9489152774606074,0.7607513593672763,0.3181818181818182,0.7777777777777778,0.2,7.0,2.0,28.0,0.040990505510944235,0.11465191969378397,0.0049739135429263115,0.2247277796268463,0.6296167373657227
58257,42,complete,20,256,2,2,128,1,2,0.5,30,random_mask,False,True,0.8062872821872847,0.7050361461333305,0.7513839419817191,0.9945754047145697,0.6037550429295542,0.8208179832112082,0.7064136863331436,0.7673423925150368,0.9797206974032253,0.6306365683528313,0.8427418535157442,0.9472637952701931,0.7589937935958697,0.34782608695652173,0.7272727272727273,0.22857142857142856,8.0,3.0,27.0,0.03148169049045482,0.08329727783511005,0.004443346057087183,0.20750120282173157,0.4524604380130768
58258,42,complete,20,256,2,2,128,1,2,0.65,30,random_mask,False,True,0.8077691841570886,0.7041246562620309,0.7472961153657444,0.9798332960393824,0.6039619323471604,0.8221430308311928,0.7027943985980445,0.7641449317488178,0.9812794303434018,0.6256934146207502,0.8450525680366215,0.9379773975968195,0.7688801010600319,0.32558139534883723,0.875,0.2,7.0,1.0,28.0,0.03945419456801482,0.11050441124523101,0.004998484160751104,0.22966764122247696,0.5822722315788269
58259,42,complete,20,256,2,2,128,1,2,0.8,30,random_mask,False,True,0.8111600781820136,0.7099352294965545,0.7467186792818811,0.9957178986090355,0.5973414709837592,0.8254384642204668,0.7231260494359324,0.7638144871780533,0.9814059087251408,0.6251990992475421,0.8450197258713954,0.9502824341939763,0.7607513593672763,0.3111111111111111,0.7,0.2,7.0,3.0,28.0,0.05327956873956736,0.16453917963116335,0.005526737309992313,0.2565176337957382,0.9529007375240326
58260,42,complete,5,256,3,2,128,1,2,0.8,30,random_mask,False,True,0.8080689336187726,0.7021291768620669,0.7510117328810503,0.9950504906841132,0.6030998931071342,0.8225553043023521,0.6991411212934181,0.7672817221553684,0.9801861815697327,0.630361948701049,0.8424420528971044,0.9315691406769886,0.7688801010600319,0.3636363636363636,0.8888888888888888,0.22857142857142856,8.0,1.0,27.0,0.02972249692772915,0.07631762631612549,0.004295310005545616,0.17227168381214142,0.4131135493516922
