i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.17205206949973106,1
0,2,0.12816381886307246,2
0,3,0.2939689360071527,3
0,4,0.09737836141083545,4
1,0,0.17205206949973106,1
1,1,1.0,0
1,2,0.14475035930674127,1
1,3,0.19194770916909734,2
1,4,0.11154733411932508,3
2,0,0.12816381886307246,2
2,1,0.14475035930674127,1
2,2,1.0,0
2,3,0.18192884950022234,1
2,4,0.2113823287098717,2
3,0,0.2939689360071527,3
3,1,0.19194770916909734,2
3,2,0.18192884950022234,1
3,3,1.0,0
3,4,0.31908104970584233,1
4,0,0.09737836141083545,4
4,1,0.11154733411932508,3
4,2,0.2113823287098717,2
4,3,0.31908104970584233,1
4,4,1.0,0
