merge_scale,metric,value,selected
0.0,forecast/mse,0.2979348599910736,0
0.05,forecast/mse,0.27215710282325745,0
0.1,forecast/mse,0.2519751191139221,0
0.15,forecast/mse,0.23723962903022766,0
0.2,forecast/mse,0.2291310578584671,1
0.25,forecast/mse,0.22997313737869263,0
0.3,forecast/mse,0.2427167147397995,0
0.35,forecast/mse,0.27034786343574524,0
0.4,forecast/mse,0.3153246343135834,0
0.45,forecast/mse,0.3794327676296234,0
0.5,forecast/mse,0.46373623609542847,0
0.55,forecast/mse,0.5686174631118774,0
0.6,forecast/mse,0.6939488649368286,0
0.65,forecast/mse,0.8391939997673035,0
0.7,forecast/mse,1.0035747289657593,0
0.75,forecast/mse,1.186125636100769,0
0.8,forecast/mse,1.3857674598693848,0
0.85,forecast/mse,1.6012959480285645,0
0.9,forecast/mse,1.8313595056533813,0
0.95,forecast/mse,2.0746264457702637,0
1.0,forecast/mse,2.329740285873413,0
1.05,forecast/mse,2.595219612121582,0
1.1,forecast/mse,2.8695435523986816,0
1.15,forecast/mse,3.151426315307617,0
1.2,forecast/mse,3.4400599002838135,0
